album,artist,genre,metascore,releasedate,userscore
David Comes To Life,Fucked Up,"Pop/Rock,Alternative/Indie Rock,Alternative Pop/Rock",86,"Jun  7, 2011",8.0
Lost In the Dream,The War on Drugs,"Pop/Rock,Alternative/Indie Rock",86,"Mar 18, 2014",8.7
Tell Tale Signs: The Bootleg Series Vol. 8,Bob Dylan,Rock,86,"Oct  7, 2008",8.8
Surf,Donnie Trumpet & The Social Experiment,Rap,86,"May 29, 2015",8.2
All Hands On The Bad One,Sleater-Kinney,"Indie,Rock,Alternative",86,"May  2, 2000",8.6
Acid Rap,Chance the Rapper,Rap,86,"Apr 30, 2013",8.8
"All We Know of Heaven, All We Need of Hell",PVRIS,"Pop/Rock,Alternative/Indie Rock,Indie Rock",86,"Aug 25, 2017",8.1
Little Sparrow,Dolly Parton,Country,86,"Jan 23, 2001",8.4
The Wind,Warren Zevon,Rock,86,"Aug 26, 2003",8.9
The Lemon Of Pink,The Books,"Indie,Rock,Electronic",86,"Oct 14, 2003",8.7
Cee-Lo Green Is The Soul Machine,Cee Lo Green,"Rap,R&B",86,"Mar  2, 2004",8.8
American Dream,LCD Soundsystem,"Electronic,Pop/Rock,Indie Rock,Indie Electronic,Alternative Dance",86,"Sep  1, 2017",8.4
"Ravedeath, 1972",Tim Hecker,"Electronic,Experimental Ambient",86,"Feb 15, 2011",8.2
In Time,The Mavericks,"Country,Neo-Traditionalist Country,Tex-Mex",86,"Feb 26, 2013",8.0
Simple Songs,Jim O'Rourke,Pop/Rock,86,"May 19, 2015",8.3
Popular Problems,Leonard Cohen,"Folk,Pop/Rock",86,"Sep 23, 2014",7.8
White Blood Cells,The White Stripes,"Indie,Rock",86,"Jul  3, 2001",8.9
Boxer,The National,"Indie,Rock",86,"May 22, 2007",8.8
Transcendental Blues,Steve Earle,"Rock,Country,Blues",86,"Jun  6, 2000",8.4
Chavez Ravine,Ry Cooder,"Rock,Singer-Songwriter,World",86,"Jun 14, 2005",8.8
Fortress,Protest the Hero,"Rock,Metal,Punk",86,"Jan 29, 2008",7.7
Harps And Angels,Randy Newman,Rock,86,"Aug  5, 2008",8.4
Present Tense,Wild Beasts,"Pop/Rock,Alternative/Indie Rock",86,"Feb 25, 2014",8.4
I See The Sign,Sam Amidon,"Folk,Singer-Songwriter",86,"Apr 13, 2010",8.6
Empros,Russian Circles,"Pop/Rock,Alternative/Indie Rock,Alternative Pop/Rock",86,"Oct 25, 2011",8.6
Oil Of Every Pearl's Un-Insides,SOPHIE,"Electronic,Pop/Rock",86,"Jun 15, 2018",8.0
Phantom Thread [Original Motion Picture Soundtrack],Jonny Greenwood,"Classical,Pop/Rock,Alternative/Indie Rock,Soundtracks,Stage & Screen,Film Score,Original Score",86,"Feb  9, 2018",7.9
Soul of a Woman,Sharon Jones & the Dap-Kings,R&B,86,"Nov 17, 2017",7.9
The Earth Is Not A Cold Dead Place,Explosions in the Sky,"Indie,Rock,Instrumental",86,"Nov  4, 2003",8.9
Freedom,Amen Dunes,"Pop/Rock,Alternative/Indie Rock,Indie Rock",86,"Mar 30, 2018",7.9
Locked Down,Dr. John,"Pop/Rock,Contemporary Singer/Songwriter,Blues-Rock,Roots Rock",86,"Apr  3, 2012",8.1
From All Purity,Indian,"Pop/Rock,Heavy Metal",86,"Jan 21, 2014",7.7
The Futureheads,The Futureheads,"Indie,Rock",86,"Oct 26, 2004",8.9
Feast of Wire,Calexico,"Indie,Rock,Alt-Country",86,"Feb 18, 2003",8.6
What Does It All Mean? 1983-2006 Retrospective,Steinski,"Alternative,Rap",86,"May 27, 2008",8.1
Stone Rollin',Raphael Saadiq,"Rap,R&B,Neo-Soul",86,"May 10, 2011",8.2
Shields,Grizzly Bear,"Alternative/Indie Rock,Indie Rock,Post-Rock",86,"Sep 18, 2012",8.7
Joy of Living: A Tribute to Ewan Maccoll,Various Artists,"Folk,Pop/Rock,British Folk,Political Folk,Sea Shanties,Work Song",86,"Oct 30, 2015",tbd
Koi No Yokan,Deftones,"Pop/Rock,Alternative Metal",86,"Nov 13, 2012",8.8
DAYTONA,Pusha T,Rap,86,"May 25, 2018",8.5
Seek Magic,Memory Tapes,"Dance,Electronic",86,"Nov  9, 2009",8.7
LP1,FKA Twigs,"Pop/Rock,Alternative/Indie Rock,Alternative R&B",86,"Aug 12, 2014",8.4
Close Ties,Rodney Crowell,Country,86,"Mar 31, 2017",7.7
Cosmogramma,Flying Lotus,"Electronic,Experimental",86,"May  4, 2010",8.8
Black Sheep Boy,Okkervil River,"Indie,Rock",86,"Apr  5, 2005",8.8
This Is Where I Live,William Bell,"R&B,Soul,Pop/Rock",86,"Jun  3, 2016",8.2
3 Pears,Dwight Yoakam,"Country,Pop/Rock,Contemporary Country,New Traditionalist,Neo-Traditionalist Country",86,"Sep 18, 2012",7.1
The Blade,Ashley Monroe,"Country,Contemporary Country,Country-Pop",86,"Jul 24, 2015",8.2
It's Great to Be Alive! [Live],Drive-By Truckers,"Pop/Rock,Alternative/Indie Rock,Hard Rock,Alternative Country-Rock,Southern Rock",86,"Oct 30, 2015",8.7
Elwan,Tinariwen,International,86,"Feb 10, 2017",7.8
A Kind Revolution,Paul Weller,Pop/Rock,86,"May 12, 2017",7.5
LCD Soundsystem,LCD Soundsystem,"Indie,Rock,Dance",86,"Feb 15, 2005",8.1
Space Is Only Noise,Nicolas Jaar,"Electronic,Club/Dance",86,"Jan 28, 2011",8.5
45:33,LCD Soundsystem,Electronic,86,"Nov 13, 2007",7.8
Platinum,Miranda Lambert,Country,86,"Jun  3, 2014",8.2
Midlife: A Beginner's Guide To Blur,Blur,"Rock,Alternative",86,"Jul 28, 2009",8.7
Luxury Problems,Andy Stott,"Electronic,Club/Dance",86,"Nov  6, 2012",8.5
Assume Crash Position,Konono No. 1,"Electronic,Alternative,Folk,World",86,"Jun  8, 2010",7.5
Midwest Farmer's Daughter,Margo Price,Country,86,"Mar 25, 2016",7.9
Welcome Interstate Managers,Fountains of Wayne,"Indie,Rock,Pop",86,"Jun 10, 2003",8.1
'Sno Angel Like You,Howe Gelb,"Indie,Rock",86,"Mar 21, 2006",8.3
Beautifully Human: Words And Sounds Vol. 2,Jill Scott,"R&B,Soul",86,"Aug 31, 2004",8.8
Floreat,Mara Carlyle,"Pop/Rock,Alternative/Indie Rock",86,"Aug 30, 2011",tbd
Estudando o Pagode,Tom Zé,World,86,"Apr 11, 2006",8.9
Narkopop,Gas,Electronic,86,"Apr 21, 2017",7.6
Without a Net,Wayne Shorter,Jazz,86,"Feb  5, 2013",5.6
Teens of Denial,Car Seat Headrest,"Pop/Rock,Alternative/Indie Rock",86,"May 20, 2016",8.3
Life Is People,Bill Fay,"Pop/Rock,Contemporary Singer/Songwriter",86,"Aug 20, 2012",8.1
Jericho Sirens,Hot Snakes,"Pop/Rock,Alternative/Indie Rock,Alternative Pop/Rock",86,"Mar 16, 2018",7.9
Centres,Ian William Craig,"Electronic,Avant-Garde,Pop/Rock,Experimental Ambient,Experimental Electronic,Neo-Classical,Tape Music",86,"Jul  8, 2016",7.5
Young Man In America,Anaïs Mitchell,"Folk,Pop/Rock",86,"Feb 28, 2012",8.0
blackSUMMERS'night (2016),Maxwell,"R&B,Pop/Rock,Adult Contemporary R&B",86,"Jul  1, 2016",8.2
Minute by Minute,James Hunter,"Pop,R&B,Soul,Blues,Pop/Rock,Contemporary Singer/Songwriter,Retro-Soul",86,"Feb 26, 2013",7.8
Syro,Aphex Twin,"Electronic,Techno,Club/Dance,Experimental Techno",86,"Sep 23, 2014",8.0
Hercules And Love Affair,Hercules & Love Affair,"Dance,Electronic",86,"Jun 24, 2008",7.1
Fixed::Context [EP],Labradford,"Indie,Electronic",86,"Feb 20, 2001",8.1
The  Blackest Beautiful,Letlive,"Emo,Pop/Rock,Alternative/Indie Rock,Post-Hardcore",86,"Jul  9, 2013",8.6
"Dead Cities, Red Seas & Lost Ghosts",M83,Electronic,86,"Jul 27, 2004",8.8
Book Burner,Pig Destroyer,"Pop/Rock,Heavy Metal",86,"Oct 22, 2012",7.5
From the Sea to the Land Beyond [OST],British Sea Power,"Soundtrack,Pop/Rock,Alternative/Indie Rock,Alternative Pop/Rock,Indie Rock",86,"Dec  2, 2013",8.4
New Energy,Four Tet,"Electronic,Club/Dance",86,"Sep 29, 2017",8.1
Sparrow,Ashley Monroe,Country,86,"Apr 20, 2018",6.8
How I Got Over,The Roots,"Rap,Hip Hop",86,"Jun 22, 2010",8.8
Love & Hate,Michael Kiwanuka,"R&B,Pop/Rock",86,"Jul 15, 2016",8.4
Are We There,Sharon Van Etten,"Pop/Rock,Alternative/Indie Rock",86,"May 27, 2014",8.6
Natalie Prass,Natalie Prass,Pop/Rock,86,"Jan 27, 2015",8.1
For Sale: Live at Maxwell's 1986,The Replacements,"Pop/Rock,Alternative/Indie Rock,Alternative Singer/Songwriter,American Underground,Jangle Pop,College Rock",86,"Oct  6, 2017",7.7
Bon Iver,Bon Iver,"Pop/Rock,Alternative/Indie Rock,Alternative Pop/Rock,Indie Rock,Alternative Singer/Songwriter,Indie Folk",86,"Jun 21, 2011",8.6
Mirrored,Battles,"Indie,Rock",86,"May 22, 2007",8.0
A Sailor's Guide to Earth,Sturgill Simpson,Country,86,"Apr 15, 2016",8.1
Welcome To Mali,Amadou & Mariam,World,86,"Mar 24, 2009",8.1
Far from Over,Vijay Iyer,Jazz,86,"Aug 25, 2017",tbd
Comicopera,Robert Wyatt,"Rock,Experimental",86,"Oct  9, 2007",8.6
This Is Still It,The Method Actors,Rock,86,"Mar  6, 2010",8.3
One Word Extinguisher,Prefuse 73,"Electronic,Hip Hop",86,"May  6, 2003",8.6
Time (The Revelator),Gillian Welch,Folk,86,"Jul 31, 2001",8.9
Hollowed,Ital Tek,"Electronic,Techno,Pop/Rock,Experimental Techno,IDM",86,"Mar 18, 2016",8.0
Who Kill,tUnE-yArDs,"Pop/Rock,Alternative/Indie Rock,Alternative Pop/Rock,Indie Rock",86,"Apr 19, 2011",8.1
Body Talk,Robyn,"Pop,Electronic,Pop/Rock,Alternative/Indie Rock,Dance-Pop,Euro-Pop,Club/Dance,Alternative Dance",86,"Nov 22, 2010",8.8
Bécs,Fennesz,"Electronic,Experimental,Electronica,Techno,Pop/Rock,Alternative/Indie Rock,Experimental Techno,Experimental Ambient,Ambient Techno,IDM,Experimental Electro,Microsound",86,"Apr 29, 2014",8.4
Nightmare Logic,Power Trip,"Pop/Rock,Heavy Metal",86,"Feb 24, 2017",7.7
CTRL,SZA,R&B,86,"Jun  9, 2017",8.6
Let England Shake,PJ Harvey,"Pop/Rock,Alternative/Indie Rock,Alternative Pop/Rock",86,"Feb 15, 2011",8.7
DFA Remixes: Chapter 1,The DFA,"Indie,Rock,Electronic",87,"Apr  4, 2006",8.4
Sound Of Silver,LCD Soundsystem,"Indie,Rock,Electronic",86,"Mar 20, 2007",8.6
Mass Romantic,The New Pornographers,"Indie,Rock,Pop",87,"Nov 21, 2000",8.7
Nashville Obsolete,Dave Rawlings Machine,Pop/Rock,87,"Sep 18, 2015",7.1
Colfax,The Delines,"R&B,Country,Alt-Country,Pop/Rock",87,"Jun 17, 2014",7.5
Phantom Power,Super Furry Animals,"Rock,Alternative",87,"Jul 22, 2003",8.9
"22, A Million",Bon Iver,"Pop/Rock,Alternative/Indie Rock,Indie Rock,Indie Electronic,Alternative Singer/Songwriter,Indie Folk",87,"Sep 30, 2016",8.3
V,The Horrors,Pop/Rock,87,"Sep 22, 2017",8.2
Bouger le Monde!,Staff Benda Bilili,,87,"Sep  4, 2012",tbd
Seven Swans,Sufjan Stevens,"Indie,Rock,Singer-Songwriter",87,"Mar 16, 2004",8.9
Kala,M.I.A.,Rap,87,"Aug 21, 2007",8.5
Children Running Through,Patty Griffin,"Rock,Adult Alternative,Folk,Singer-Songwriter",87,"Feb  6, 2007",8.6
House of Balloons,The Weeknd,"R&B,Alternative R&B",87,"Mar 21, 2011",8.8
The Creek Drank The Cradle,Iron & Wine,"Indie,Rock",87,"Sep 24, 2002",8.9
Gone Away Backward,Robbie Fulks,Country,87,"Aug 27, 2013",4.4
Favourite Colours,The Sadies,"Indie,Rock,Alt-Country",87,"Aug 24, 2004",8.3
In Colour,Jamie xx,"Electronic,Garage,Pop/Rock,Alternative/Indie Rock,Club/Dance,Indie Electronic,Indie Pop,Dubstep",87,"Jun  2, 2015",8.6
Beautiful Africa,Rokia Traoré,International,87,"Apr  8, 2013",8.3
Cocoa Sugar,Young Fathers,Rap,87,"Mar  9, 2018",8.8
Tracyanne & Danny,Tracyanne & Danny,"Pop/Rock,Alternative/Indie Rock",87,"May 25, 2018",7.5
The Suburbs,Arcade Fire,"Pop/Rock,Alternative/Indie Rock,Alternative Pop/Rock,Indie Rock",87,"Aug  3, 2010",8.9
Innocence is Kinky,Jenny Hval,Pop/Rock,87,"May 14, 2013",8.5
Is Survived By,Touche Amore,"Pop/Rock,Punk/New Wave,Hardcore Punk",87,"Sep 24, 2013",8.2
Annie Up,Pistol Annies,"Country,Pop/Rock,Contemporary Country,Country-Pop",87,"May  7, 2013",4.3
In a Poem Unlimited,U.S. Girls,"Pop/Rock,Alternative/Indie Rock",87,"Feb 16, 2018",8.3
Congotronics,Konono No. 1,World,87,"Sep 27, 2005",7.2
Stumble Into Grace,Emmylou Harris,"Country,Singer-Songwriter",87,"Sep 23, 2003",8.7
Phrenology,The Roots,Rap,87,"Nov 26, 2002",8.6
Celestial Lineage,Wolves in the Throne Room,"Pop/Rock,Heavy Metal",87,"Sep 13, 2011",8.3
Yankee Hotel Foxtrot,Wilco,"Rock,Alternative,Alt-Country",87,"Apr 23, 2002",8.9
Soil,Serpentwithfeet,"Pop,Electronic,R&B,Pop/Rock,Alternative/Indie Rock,Indie Electronic,Alternative R&B,Left-Field Pop",87,"Jun  8, 2018",8.0
Remembering Mountains: Unheard Songs By Karen Dalton,Various Artists,"Folk,Pop/Rock",87,"May 26, 2015",7.2
xx,The xx,"Indie,Rock,Pop",87,"Oct  6, 2009",8.8
Neon Bible,Arcade Fire,"Indie,Rock",87,"Mar  6, 2007",8.7
Ágætis Byrjun,Sigur Rós,"Indie,Rock",87,"May 15, 2001",8.9
World Music,Goat,,87,"Aug 20, 2012",7.8
Virgins,Tim Hecker,"Electronic,Club/Dance",87,"Oct 15, 2013",8.3
Random Access Memories,Daft Punk,"Electronic,Club/Dance",87,"May 21, 2013",8.3
Vulnicura,Björk,,87,"Jan 20, 2015",8.7
"I Love You, Honeybear",Father John Misty,"Pop/Rock,Alternative/Indie Rock",87,"Feb 10, 2015",8.6
And Their Refinement Of The Decline,Stars Of The Lid,"Rock,Electronic",87,"Apr  7, 2007",7.2
Let's Stay Friends,Les Savy Fav,"Indie,Rock",87,"Sep 18, 2007",8.2
Raising Sand,Robert Plant And Alison Krauss,Folk,87,"Oct 23, 2007",8.8
"Now, More Than Ever",Jim Guthrie,"Indie,Rock",87,"Jun  1, 2004",8.7
Puberty 2,Mitski,"Pop/Rock,Alternative/Indie Rock",87,"Jun 17, 2016",8.6
You Will Never Be One of Us,NAILS,"Pop/Rock,Heavy Metal",87,"Jun 17, 2016",6.6
Summertime '06,Vince Staples,Rap,87,"Jun 30, 2015",8.5
Arca,Arca,"Electronic,Experimental Electronic",87,"Apr  7, 2017",8.0
World Without Tears,Lucinda Williams,"Rock,Folk,Alt-Country",87,"Apr  8, 2003",8.9
Cold House,Hood,"Indie,Rock,Electronic",87,"Nov 13, 2001",8.3
Things We Lost In The Fire,Low,"Indie,Rock,Alternative",87,"Feb  6, 2001",8.8
The Seer,Swans,"Post-Rock,Experimental Rock,Noise-Rock",87,"Aug 28, 2012",8.4
Guppy,Charly Bliss,"Pop/Rock,Alternative/Indie Rock,Indie Rock",87,"Apr 21, 2017",7.7
The Town And The City,Los Lobos,Rock,87,"Sep 12, 2006",8.6
Historicity,Vijay Iyer Trio,Jazz,87,"Oct 13, 2009",8.0
Too Bright,Perfume Genius,Pop/Rock,87,"Sep 23, 2014",8.3
Painted Shut,Hop Along,Pop/Rock,87,"May  4, 2015",8.4
Isolation,Kali Uchis,Pop/Rock,87,"Apr  6, 2018",8.5
The River & the Thread,Rosanne Cash,"Country,Folk,Pop/Rock,Contemporary Singer/Songwriter,Contemporary Country",87,"Jan 14, 2014",7.6
The Dirty South,Drive-By Truckers,"Indie,Rock",87,"Aug 24, 2004",8.9
Choose Your Weapon,Hiatus Kaiyote,"R&B,Pop/Rock,Alternative/Indie Rock,Alternative Pop/Rock,Alternative R&B",87,"May  4, 2015",8.4
Southeastern,Jason Isbell,"Pop/Rock,Alternative/Indie Rock,Alternative Pop/Rock,Alternative Country-Rock,Roots Rock,Southern Rock",87,"Jun 11, 2013",8.4
Cusp,Alela Diane,Pop/Rock,87,"Feb  9, 2018",7.8
The Thin Black Duke,Oxbow,"Pop/Rock,Heavy Metal",87,"May  5, 2017",7.9
Blonde,Frank Ocean,,87,"Aug 20, 2016",8.7
